Date,Store ID,Product ID,Category,Region,Inventory Level,Units Sold,Units Ordered,Price,Discount,Weather Condition,Promotion,Competitor Pricing,Seasonality,Epidemic,Demand
2022-01-01,S002,P0003,Groceries,South,187,167,596,95.17,10,Cloudy,1,84.24,Winter,0,171
2022-01-01,S002,P0004,Groceries,South,160,111,339,39.54,10,Cloudy,0,46.57,Winter,0,110
2022-01-01,S002,P0005,Electronics,South,155,103,334,92.35,0,Cloudy,0,104.72,Winter,0,94
2022-01-01,S002,P0006,Clothing,South,198,79,0,64.0,5,Cloudy,0,57.37,Winter,0,88
2022-01-01,S002,P0007,Toys,South,233,89,226,25.47,10,Cloudy,0,30.08,Winter,0,93
2022-01-01,S002,P0008,Groceries,South,124,124,99,25.63,5,Cloudy,0,29.79,Winter,0,112
2022-01-01,S002,P0009,Groceries,South,131,131,260,64.84,10,Cloudy,0,68.68,Winter,0,145
2022-01-01,S002,P0010,Groceries,South,242,118,194,117.17,5,Cloudy,0,106.37,Winter,0,195
2022-01-01,S002,P0011,Groceries,South,206,49,191,84.71,10,Cloudy,0,76.07,Winter,0,79
2022-01-01,S002,P0012,Electronics,South,197,78,413,78.86,0,Cloudy,0,69.84,Winter,0,122
2022-01-01,S002,P0013,Groceries,South,152,93,331,21.76,10,Cloudy,0,21.12,Winter,0,109
2022-01-01,S002,P0014,Electronics,South,153,69,289,100.18,10,Cloudy,1,108.96,Winter,0,63
2022-01-01,S002,P0015,Clothing,South,106,70,457,65.19,10,Cloudy,0,64.23,Winter,0,96
2022-01-01,S002,P0016,Clothing,South,113,113,323,111.87,5,Cloudy,0,118.76,Winter,0,194
2022-01-01,S002,P0017,Toys,South,153,72,196,18.89,5,Cloudy,0,18.27,Winter,0,65
2022-01-01,S002,P0018,Clothing,South,126,69,86,27.67,0,Cloudy,0,26.08,Winter,0,79
2022-01-01,S002,P0019,Clothing,South,164,82,391,83.09,10,Cloudy,0,74.12,Winter,0,96
2022-01-01,S002,P0020,Furniture,South,126,43,132,125.8,0,Cloudy,0,110.88,Winter,0,53
2022-01-01,S003,P0001,Toys,East,182,109,193,16.85,10,Sunny,0,15.48,Winter,0,112
2022-01-01,S003,P0002,Groceries,East,290,56,236,50.42,10,Sunny,1,45.94,Winter,0,82
2022-01-01,S003,P0003,Electronics,East,122,122,127,83.17,20,Sunny,1,72.09,Winter,0,126
2022-01-01,S003,P0004,Groceries,East,203,122,518,26.29,5,Sunny,0,30.05,Winter,0,158
2022-01-01,S003,P0005,Toys,East,253,40,212,19.8,5,Sunny,0,17.3,Winter,0,57
2022-01-01,S003,P0006,Toys,East,227,106,0,44.64,0,Sunny,0,50.46,Winter,0,136
2022-01-01,S003,P0007,Groceries,East,247,123,552,18.65,0,Sunny,0,21.62,Winter,0,142
2022-01-01,S003,P0008,Clothing,East,297,61,0,113.01,0,Sunny,0,126.44,Winter,0,89
2022-01-01,S003,P0009,Groceries,East,226,96,0,56.32,5,Sunny,0,66.33,Winter,0,126
2022-01-01,S003,P0010,Groceries,East,167,70,127,36.21,10,Sunny,0,39.87,Winter,0,106
2022-01-01,S003,P0011,Electronics,East,159,157,293,131.16,10,Sunny,0,139.75,Winter,0,149
2022-01-01,S003,P0012,Furniture,East,126,58,131,105.94,0,Sunny,0,103.35,Winter,0,80
2022-01-01,S003,P0013,Groceries,East,105,105,743,86.78,10,Sunny,0,78.8,Winter,0,176
2022-01-01,S003,P0014,Groceries,East,271,27,0,61.69,25,Sunny,1,53.36,Winter,0,44
2022-01-01,S003,P0015,Groceries,East,166,131,500,98.46,10,Sunny,0,104.52,Winter,0,133
2022-01-01,S003,P0016,Electronics,East,292,80,0,94.11,10,Sunny,0,107.33,Winter,0,108
2022-01-01,S003,P0017,Furniture,East,204,53,380,112.23,10,Sunny,0,133.9,Winter,0,82
2022-01-01,S003,P0018,Furniture,East,289,56,316,134.95,5,Sunny,0,125.53,Winter,0,75
2022-01-01,S003,P0019,Groceries,East,201,109,0,59.71,0,Sunny,0,70.74,Winter,0,123
2022-01-01,S003,P0020,Clothing,East,250,41,270,65.81,5,Sunny,0,57.66,Winter,0,61
2022-01-01,S004,P0001,Groceries,West,215,85,287,10.47,0,Snowy,0,11.51,Winter,0,81
2022-01-01,S004,P0002,Groceries,West,283,67,0,19.12,10,Snowy,1,20.62,Winter,0,112
2022-01-01,S004,P0003,Furniture,West,161,92,407,134.16,20,Snowy,1,117.74,Winter,0,114
2022-01-01,S004,P0004,Groceries,West,168,88,252,51.64,0,Snowy,0,57.32,Winter,0,86
2022-01-01,S004,P0005,Clothing,West,289,197,0,89.23,10,Snowy,0,77.73,Winter,0,183
2022-01-01,S004,P0006,Groceries,West,206,48,162,35.33,0,Snowy,0,34.77,Winter,0,73
2022-01-01,S004,P0007,Groceries,West,185,43,253,24.34,5,Snowy,0,26.46,Winter,0,65
2022-01-01,S004,P0008,Furniture,West,281,59,0,100.64,0,Snowy,0,118.02,Winter,0,80
2022-01-01,S004,P0009,Clothing,West,206,106,299,110.47,5,Snowy,0,122.04,Winter,0,98
2022-01-01,S004,P0010,Groceries,West,223,120,597,30.02,0,Snowy,0,29.15,Winter,0,128
2022-01-01,S004,P0011,Clothing,West,195,60,293,52.89,0,Snowy,0,62.29,Winter,0,61
2022-01-01,S004,P0012,Electronics,West,111,111,113,118.15,0,Snowy,0,133.46,Winter,0,103
2022-01-01,S004,P0013,Groceries,West,136,104,385,20.24,10,Snowy,0,18.9,Winter,0,110
2022-01-01,S004,P0014,Furniture,West,110,52,122,148.46,10,Snowy,1,178.25,Winter,0,70
2022-01-01,S004,P0015,Furniture,West,249,42,0,86.47,5,Snowy,0,81.87,Winter,0,44
2022-01-01,S004,P0016,Furniture,West,155,74,218,110.39,10,Snowy,0,101.16,Winter,0,71
2022-01-01,S004,P0017,Clothing,West,232,65,0,84.83,10,Snowy,0,94.7,Winter,0,85
2022-01-01,S004,P0018,Furniture,West,165,64,0,141.31,10,Snowy,0,150.73,Winter,0,67
2022-01-01,S004,P0019,Clothing,West,146,125,103,56.86,10,Snowy,0,64.61,Winter,0,111
2022-01-01,S004,P0020,Furniture,West,290,52,0,124.97,10,Snowy,0,110.39,Winter,0,76
2022-01-01,S005,P0001,Groceries,North,182,75,198,11.46,5,Snowy,0,9.92,Winter,0,84
2022-01-01,S005,P0002,Electronics,North,131,131,474,48.68,10,Snowy,1,51.85,Winter,0,186
2022-01-01,S005,P0003,Toys,North,247,145,0,29.57,20,Snowy,1,26.3,Winter,0,143
2022-01-01,S005,P0004,Groceries,North,195,143,114,7.45,10,Snowy,0,8.33,Winter,0,121
2022-01-01,S005,P0005,Groceries,North,187,126,344,20.02,0,Snowy,0,18.12,Winter,0,148
2022-01-01,S005,P0006,Groceries,North,280,59,300,53.49,5,Snowy,0,52.34,Winter,0,67
2022-01-01,S005,P0007,Groceries,North,297,74,0,82.73,0,Snowy,0,79.8,Winter,0,85
2022-01-01,S005,P0008,Groceries,North,229,165,0,73.42,0,Snowy,0,84.61,Winter,0,149
2022-01-01,S005,P0009,Groceries,North,270,59,268,94.75,0,Snowy,0,112.34,Winter,0,94
2022-01-01,S005,P0010,Groceries,North,132,132,436,70.86,0,Snowy,0,63.54,Winter,0,136
2022-01-01,S005,P0011,Electronics,North,220,17,0,62.12,0,Snowy,0,55.78,Winter,0,15
2022-01-01,S005,P0012,Furniture,North,230,71,371,133.86,5,Snowy,0,118.2,Winter,0,84
2022-01-01,S005,P0013,Groceries,North,145,82,328,71.03,10,Snowy,0,78.02,Winter,0,116
2022-01-01,S005,P0014,Furniture,North,193,63,219,161.18,10,Snowy,1,156.66,Winter,0,82
2022-01-01,S005,P0015,Groceries,North,132,108,203,44.36,10,Snowy,0,52.84,Winter,0,93
2022-01-01,S005,P0016,Toys,North,131,59,191,32.84,0,Snowy,0,39.5,Winter,0,76
2022-01-01,S005,P0017,Toys,North,159,89,73,33.04,10,Snowy,0,37.53,Winter,0,88
2022-01-01,S005,P0018,Clothing,North,245,68,0,22.41,0,Snowy,0,22.24,Winter,0,88
2022-01-01,S005,P0019,Furniture,North,202,42,0,119.15,10,Snowy,0,102.4,Winter,0,47
2022-01-01,S005,P0020,Toys,North,131,79,105,28.66,10,Snowy,0,34.32,Winter,0,104
2022-01-02,S001,P0001,Electronics,North,93,71,0,65.63,5,Snowy,0,73.66,Winter,0,84
2022-01-02,S001,P0002,Clothing,North,249,116,0,74.44,10,Snowy,0,87.66,Winter,0,175
2022-01-02,S001,P0003,Clothing,North,133,130,0,66.15,0,Snowy,0,74.15,Winter,0,156
2022-01-02,S001,P0004,Electronics,North,94,82,183,91.64,10,Snowy,0,105.17,Winter,0,78
2022-01-02,S001,P0005,Groceries,North,87,87,487,63.35,0,Snowy,0,61.2,Winter,0,103
2022-01-02,S001,P0006,Toys,North,149,77,172,36.93,5,Snowy,0,32.24,Winter,0,65
2022-01-02,S001,P0007,Groceries,North,37,37,497,27.22,0,Snowy,0,31.11,Winter,0,127
2022-01-02,S001,P0008,Electronics,North,202,37,0,37.38,5,Snowy,0,42.34,Winter,0,58
2022-01-02,S001,P0009,Clothing,North,166,133,107,93.21,10,Snowy,0,83.66,Winter,0,126
2022-01-02,S001,P0010,Furniture,North,122,105,498,129.03,10,Snowy,1,139.76,Winter,0,107
2022-01-02,S001,P0011,Furniture,North,164,152,264,175.19,10,Snowy,1,187.65,Winter,0,130
2022-01-02,S001,P0012,Groceries,North,168,168,397,96.27,10,Snowy,1,109.41,Winter,0,187
2022-01-02,S001,P0013,Toys,North,166,73,90,32.72,10,Snowy,0,28.94,Winter,0,107
2022-01-02,S001,P0014,Groceries,North,131,81,0,70.94,0,Snowy,0,66.18,Winter,0,75
2022-01-02,S001,P0015,Toys,North,138,117,109,15.17,10,Snowy,1,16.81,Winter,0,110
2022-01-02,S001,P0016,Groceries,North,25,25,0,35.58,0,Snowy,0,30.98,Winter,0,59
2022-01-02,S001,P0017,Toys,North,69,33,50,17.76,10,Snowy,0,16.08,Winter,0,42
2022-01-02,S001,P0018,Groceries,North,203,172,155,66.33,10,Snowy,0,56.8,Winter,0,144
2022-01-02,S001,P0019,Furniture,North,220,35,0,93.29,10,Snowy,0,99.51,Winter,0,52
2022-01-02,S001,P0020,Furniture,North,230,93,432,119.87,10,Snowy,0,111.8,Winter,0,92
2022-01-02,S002,P0001,Groceries,South,0,0,350,86.71,10,Cloudy,0,85.0,Winter,0,137
2022-01-02,S002,P0002,Toys,South,74,61,0,31.7,0,Cloudy,0,36.09,Winter,0,82
2022-01-02,S002,P0003,Groceries,South,20,20,0,66.64,10,Cloudy,0,61.22,Winter,0,58
2022-01-02,S002,P0004,Groceries,South,49,40,0,36.7,5,Cloudy,0,35.23,Winter,0,59
2022-01-02,S002,P0005,Electronics,South,52,52,412,98.83,5,Cloudy,0,94.92,Winter,0,115
2022-01-02,S002,P0006,Clothing,South,119,116,137,66.76,10,Cloudy,0,59.62,Winter,0,117
2022-01-02,S002,P0007,Toys,South,144,95,0,30.0,0,Cloudy,0,28.44,Winter,0,95
2022-01-02,S002,P0008,Groceries,South,99,99,153,29.35,0,Cloudy,0,34.68,Winter,0,140
2022-01-02,S002,P0009,Groceries,South,0,0,263,74.78,0,Cloudy,0,83.48,Winter,0,158
2022-01-02,S002,P0010,Groceries,South,318,179,0,101.56,25,Cloudy,1,98.18,Winter,0,234
2022-01-02,S002,P0011,Groceries,South,157,135,474,91.4,15,Cloudy,1,109.66,Winter,0,137
2022-01-02,S002,P0012,Electronics,South,119,75,511,65.63,15,Cloudy,1,56.85,Winter,0,115
2022-01-02,S002,P0013,Groceries,South,59,45,0,20.47,0,Cloudy,0,22.07,Winter,0,75
2022-01-02,S002,P0014,Electronics,South,84,84,564,134.04,10,Cloudy,0,124.77,Winter,0,135
2022-01-02,S002,P0015,Clothing,South,36,36,604,65.22,20,Cloudy,1,71.11,Winter,0,152
2022-01-02,S002,P0016,Clothing,South,0,0,260,107.38,0,Cloudy,0,114.77,Winter,0,159
2022-01-02,S002,P0017,Toys,South,81,63,323,18.69,10,Cloudy,0,20.42,Winter,0,92
2022-01-02,S002,P0018,Clothing,South,143,74,87,26.16,5,Cloudy,0,31.4,Winter,0,92
2022-01-02,S002,P0019,Clothing,South,82,66,439,93.88,0,Cloudy,0,85.41,Winter,0,101
2022-01-02,S002,P0020,Furniture,South,83,77,214,134.4,0,Cloudy,0,124.57,Winter,0,70
2022-01-02,S003,P0001,Toys,East,73,73,0,15.76,5,Cloudy,0,16.81,Winter,0,91
2022-01-02,S003,P0002,Groceries,East,234,175,548,63.12,10,Cloudy,0,55.32,Winter,0,154
2022-01-02,S003,P0003,Electronics,East,127,125,160,109.88,0,Cloudy,0,107.36,Winter,0,145
2022-01-02,S003,P0004,Groceries,East,81,39,0,19.9,0,Cloudy,0,22.28,Winter,0,56
2022-01-02,S003,P0005,Toys,East,213,59,0,20.05,10,Cloudy,0,17.73,Winter,0,75
2022-01-02,S003,P0006,Toys,East,121,70,96,40.69,0,Cloudy,0,39.79,Winter,0,91
2022-01-02,S003,P0007,Groceries,East,124,124,0,16.3,10,Cloudy,0,19.56,Winter,0,132
2022-01-02,S003,P0008,Clothing,East,236,121,306,132.2,5,Cloudy,0,148.43,Winter,0,156
2022-01-02,S003,P0009,Groceries,East,130,78,86,52.56,10,Cloudy,0,51.15,Winter,0,105
2022-01-02,S003,P0010,Groceries,East,224,92,0,32.73,20,Cloudy,1,32.0,Winter,0,96
2022-01-02,S003,P0011,Electronics,East,2,2,386,113.61,25,Cloudy,1,126.49,Winter,0,163
2022-01-02,S003,P0012,Furniture,East,68,62,224,90.21,15,Cloudy,1,106.9,Winter,0,95
2022-01-02,S003,P0013,Groceries,East,0,0,0,69.14,0,Cloudy,0,72.85,Winter,0,83
2022-01-02,S003,P0014,Groceries,East,244,52,0,84.21,0,Cloudy,0,83.63,Winter,0,50
2022-01-02,S003,P0015,Groceries,East,35,35,622,100.93,20,Cloudy,1,120.1,Winter,0,185
2022-01-02,S003,P0016,Electronics,East,212,126,289,126.78,0,Cloudy,0,110.11,Winter,0,156
2022-01-02,S003,P0017,Furniture,East,151,37,0,107.38,5,Cloudy,0,92.46,Winter,0,42
2022-01-02,S003,P0018,Furniture,East,233,65,0,127.98,10,Cloudy,0,148.9,Winter,0,90
2022-01-02,S003,P0019,Groceries,East,92,92,95,56.72,5,Cloudy,0,55.93,Winter,0,107
2022-01-02,S003,P0020,Clothing,East,209,60,0,73.57,5,Cloudy,0,62.9,Winter,0,92
2022-01-02,S004,P0001,Groceries,West,130,130,734,12.67,10,Sunny,0,11.95,Winter,0,160
2022-01-02,S004,P0002,Groceries,West,216,121,225,23.71,0,Sunny,0,21.48,Winter,0,131
2022-01-02,S004,P0003,Furniture,West,69,69,0,142.86,5,Sunny,0,134.09,Winter,0,81
2022-01-02,S004,P0004,Groceries,West,80,20,0,38.88,5,Sunny,0,44.68,Winter,0,26
2022-01-02,S004,P0005,Clothing,West,92,92,152,83.84,10,Sunny,0,88.73,Winter,0,178
2022-01-02,S004,P0006,Groceries,West,158,149,268,40.95,5,Sunny,0,34.97,Winter,0,134
2022-01-02,S004,P0007,Groceries,West,142,142,563,36.85,0,Sunny,0,35.75,Winter,0,164
2022-01-02,S004,P0008,Furniture,West,222,28,0,84.29,5,Sunny,0,90.72,Winter,0,46
2022-01-02,S004,P0009,Clothing,West,100,100,494,120.17,10,Sunny,0,135.44,Winter,0,142
2022-01-02,S004,P0010,Groceries,West,103,103,0,23.81,20,Sunny,1,26.5,Winter,0,142
2022-01-02,S004,P0011,Clothing,West,135,130,688,64.39,25,Sunny,1,58.88,Winter,0,205
2022-01-02,S004,P0012,Electronics,West,113,90,71,94.35,15,Sunny,1,102.02,Winter,0,84
2022-01-02,S004,P0013,Groceries,West,32,32,501,24.95,0,Sunny,0,23.75,Winter,0,144
2022-01-02,S004,P0014,Furniture,West,58,58,185,175.28,0,Sunny,0,193.4,Winter,0,87
2022-01-02,S004,P0015,Furniture,West,207,72,200,74.92,20,Sunny,1,82.61,Winter,0,65
2022-01-02,S004,P0016,Furniture,West,81,67,0,122.71,0,Sunny,0,148.34,Winter,0,86
2022-01-02,S004,P0017,Clothing,West,167,99,149,117.24,0,Sunny,0,111.57,Winter,0,138
2022-01-02,S004,P0018,Furniture,West,101,94,104,169.09,5,Sunny,0,163.21,Winter,0,87
2022-01-02,S004,P0019,Clothing,West,124,124,162,66.93,5,Sunny,0,79.53,Winter,0,148
2022-01-02,S004,P0020,Furniture,West,238,56,0,114.9,5,Sunny,0,133.94,Winter,0,53
2022-01-02,S005,P0001,Groceries,North,107,81,0,11.7,0,Snowy,0,10.06,Winter,0,75
2022-01-02,S005,P0002,Electronics,North,0,0,0,40.81,10,Snowy,0,38.43,Winter,0,106
2022-01-02,S005,P0003,Toys,North,102,87,109,29.13,10,Snowy,0,28.91,Winter,0,100
2022-01-02,S005,P0004,Groceries,North,166,77,109,7.79,10,Snowy,0,7.23,Winter,0,119
2022-01-02,S005,P0005,Groceries,North,61,61,0,15.31,10,Snowy,0,13.22,Winter,0,95
2022-01-02,S005,P0006,Groceries,North,221,122,540,56.83,10,Snowy,0,60.46,Winter,0,116
2022-01-02,S005,P0007,Groceries,North,223,3,0,56.72,0,Snowy,0,64.26,Winter,0,4
2022-01-02,S005,P0008,Groceries,North,64,64,103,58.77,10,Snowy,0,55.01,Winter,0,94
2022-01-02,S005,P0009,Groceries,North,211,80,0,103.03,0,Snowy,0,88.63,Winter,0,104
2022-01-02,S005,P0010,Groceries,North,0,0,629,72.29,10,Snowy,1,64.1,Winter,0,182
2022-01-02,S005,P0011,Electronics,North,203,51,260,57.17,20,Snowy,1,64.73,Winter,0,62
2022-01-02,S005,P0012,Furniture,North,159,117,439,131.02,10,Snowy,1,157.89,Winter,0,110
2022-01-02,S005,P0013,Groceries,North,63,63,319,75.5,5,Snowy,0,89.57,Winter,0,118
2022-01-02,S005,P0014,Furniture,North,130,47,0,160.24,5,Snowy,0,152.98,Winter,0,65
2022-01-02,S005,P0015,Groceries,North,24,24,192,45.46,15,Snowy,1,49.28,Winter,0,118
2022-01-02,S005,P0016,Toys,North,72,72,209,35.13,0,Snowy,0,34.06,Winter,0,81
2022-01-02,S005,P0017,Toys,North,143,61,0,31.63,5,Snowy,0,35.51,Winter,0,60
2022-01-02,S005,P0018,Clothing,North,177,177,239,28.59,10,Snowy,0,27.16,Winter,0,211
2022-01-02,S005,P0019,Furniture,North,160,37,113,119.41,10,Snowy,0,139.55,Winter,0,61
2022-01-02,S005,P0020,Toys,North,157,56,0,26.62,10,Snowy,0,23.56,Winter,0,68
2022-01-03,S001,P0001,Electronics,North,274,142,229,68.55,15,Snowy,1,80.73,Winter,0,132
2022-01-03,S001,P0002,Clothing,North,133,92,118,78.32,0,Snowy,0,77.58,Winter,0,137
2022-01-03,S001,P0003,Clothing,North,3,3,0,51.3,10,Snowy,1,56.0,Winter,0,106
2022-01-03,S001,P0004,Electronics,North,114,55,0,91.74,5,Snowy,0,105.94,Winter,0,63
2022-01-03,S001,P0005,Groceries,North,0,0,761,58.17,25,Snowy,1,57.29,Winter,0,172
2022-01-03,S001,P0006,Toys,North,72,72,281,36.37,15,Snowy,1,36.01,Winter,0,92
2022-01-03,S001,P0007,Groceries,North,0,0,0,23.81,5,Snowy,0,25.21,Winter,0,101
2022-01-03,S001,P0008,Electronics,North,165,56,0,42.35,0,Snowy,0,38.38,Winter,0,64
2022-01-03,S001,P0009,Clothing,North,140,88,109,98.1,0,Snowy,0,86.64,Winter,0,109
2022-01-03,S001,P0010,Furniture,North,17,17,0,138.64,0,Snowy,0,124.61,Winter,0,82
2022-01-03,S001,P0011,Furniture,North,154,62,0,152.23,10,Snowy,0,175.99,Winter,0,86
2022-01-03,S001,P0012,Groceries,North,215,165,0,88.83,20,Snowy,1,97.64,Winter,0,201
2022-01-03,S001,P0013,Toys,North,183,47,0,29.75,0,Snowy,0,35.18,Winter,0,64
2022-01-03,S001,P0014,Groceries,North,50,50,0,81.49,5,Snowy,0,79.61,Winter,0,134
2022-01-03,S001,P0015,Toys,North,130,92,80,16.43,0,Snowy,0,14.9,Winter,0,86
2022-01-03,S001,P0016,Groceries,North,0,0,553,45.61,15,Snowy,1,40.77,Winter,0,193
2022-01-03,S001,P0017,Toys,North,86,59,94,22.74,0,Snowy,0,21.56,Winter,0,80
2022-01-03,S001,P0018,Groceries,North,186,134,115,72.12,0,Snowy,0,65.71,Winter,0,137
2022-01-03,S001,P0019,Furniture,North,185,48,0,104.22,10,Snowy,0,95.66,Winter,0,68
2022-01-03,S001,P0020,Furniture,North,137,85,0,94.75,25,Snowy,1,86.97,Winter,0,77
2022-01-03,S002,P0001,Groceries,South,0,0,0,84.32,20,Cloudy,1,92.33,Winter,0,189
2022-01-03,S002,P0002,Toys,South,205,64,166,33.62,5,Cloudy,0,30.87,Winter,0,100
2022-01-03,S002,P0003,Groceries,South,0,0,0,69.5,10,Cloudy,1,79.43,Winter,0,84
2022-01-03,S002,P0004,Groceries,South,9,9,0,37.8,0,Cloudy,0,37.38,Winter,0,53
2022-01-03,S002,P0005,Electronics,South,0,0,0,103.86,10,Cloudy,1,91.4,Winter,0,150
2022-01-03,S002,P0006,Clothing,South,140,140,172,67.06,25,Cloudy,1,64.59,Winter,0,184
2022-01-03,S002,P0007,Toys,South,49,49,300,27.9,0,Cloudy,0,33.63,Winter,0,89
2022-01-03,S002,P0008,Groceries,South,153,126,155,30.53,0,Cloudy,0,36.87,Winter,0,154
2022-01-03,S002,P0009,Groceries,South,260,134,0,68.23,10,Cloudy,0,64.5,Winter,0,145
2022-01-03,S002,P0010,Groceries,South,139,116,107,86.08,10,Cloudy,0,81.12,Winter,0,105
2022-01-03,S002,P0011,Groceries,South,22,22,0,109.82,0,Cloudy,0,124.57,Winter,0,144
2022-01-03,S002,P0012,Electronics,South,44,44,0,70.05,20,Cloudy,1,59.81,Winter,0,158
2022-01-03,S002,P0013,Groceries,South,14,14,0,18.11,10,Cloudy,0,21.08,Winter,0,70
2022-01-03,S002,P0014,Electronics,South,0,0,0,125.35,10,Cloudy,0,120.17,Winter,0,113
2022-01-03,S002,P0015,Clothing,South,0,0,0,74.64,10,Cloudy,0,83.24,Winter,0,158
2022-01-03,S002,P0016,Clothing,South,323,113,0,69.5,25,Cloudy,1,74.88,Winter,0,109
2022-01-03,S002,P0017,Toys,South,18,18,0,20.44,0,Cloudy,0,23.47,Winter,0,87
2022-01-03,S002,P0018,Clothing,South,156,96,121,29.14,10,Cloudy,0,24.82,Winter,0,127
2022-01-03,S002,P0019,Clothing,South,16,16,0,96.98,5,Cloudy,0,109.82,Winter,0,145
2022-01-03,S002,P0020,Furniture,South,6,6,0,82.98,25,Cloudy,1,73.24,Winter,0,22
2022-01-03,S003,P0001,Toys,East,193,117,316,18.83,10,Cloudy,1,20.46,Winter,0,168
2022-01-03,S003,P0002,Groceries,East,59,59,0,60.46,0,Cloudy,0,57.57,Winter,0,104
2022-01-03,S003,P0003,Electronics,East,162,162,197,102.13,10,Cloudy,1,118.42,Winter,0,175
2022-01-03,S003,P0004,Groceries,East,42,42,0,20.88,10,Cloudy,0,24.94,Winter,0,99
2022-01-03,S003,P0005,Toys,East,154,48,0,17.78,15,Cloudy,1,21.3,Winter,0,72
2022-01-03,S003,P0006,Toys,East,147,27,0,28.63,15,Cloudy,1,25.6,Winter,0,40
2022-01-03,S003,P0007,Groceries,East,0,0,0,16.06,5,Cloudy,0,19.09,Winter,0,109
2022-01-03,S003,P0008,Clothing,East,115,114,0,123.69,10,Cloudy,0,119.72,Winter,0,134
2022-01-03,S003,P0009,Groceries,East,138,126,156,56.93,10,Cloudy,0,48.4,Winter,0,131
2022-01-03,S003,P0010,Groceries,East,132,127,173,52.41,5,Cloudy,0,48.68,Winter,0,200
2022-01-03,S003,P0011,Electronics,East,293,62,0,105.49,5,Cloudy,0,125.46,Winter,0,65
2022-01-03,S003,P0012,Furniture,East,137,137,306,93.48,25,Cloudy,1,98.69,Winter,0,148
2022-01-03,S003,P0013,Groceries,East,0,0,681,94.01,0,Cloudy,0,89.45,Winter,0,166
2022-01-03,S003,P0014,Groceries,East,192,64,244,89.29,5,Cloudy,0,95.52,Winter,0,95
2022-01-03,S003,P0015,Groceries,East,0,0,0,81.54,0,Cloudy,0,91.17,Winter,0,47
2022-01-03,S003,P0016,Electronics,East,86,86,0,87.62,25,Cloudy,1,76.74,Winter,0,127
2022-01-03,S003,P0017,Furniture,East,114,51,0,114.31,0,Cloudy,0,127.68,Winter,0,58
2022-01-03,S003,P0018,Furniture,East,168,43,0,125.69,5,Cloudy,0,151.98,Winter,0,70
2022-01-03,S003,P0019,Groceries,East,95,95,139,65.05,0,Cloudy,0,58.48,Winter,0,134
2022-01-03,S003,P0020,Clothing,East,149,149,753,77.03,20,Cloudy,1,84.13,Winter,0,184
2022-01-03,S004,P0001,Groceries,West,0,0,0,12.83,15,Sunny,1,15.38,Winter,0,207
2022-01-03,S004,P0002,Groceries,West,95,75,0,18.58,10,Sunny,0,17.47,Winter,0,88
2022-01-03,S004,P0003,Furniture,West,0,0,374,126.27,20,Sunny,1,149.23,Winter,0,111
2022-01-03,S004,P0004,Groceries,West,60,54,229,55.0,0,Sunny,0,52.98,Winter,0,90
